num;callsign;dmrid;name;country;ctry
293;2E0VTL;2351691;Jordan;United Kingdom;GBR
294;2E0VTM;2351910;Ian;United Kingdom;GBR
295;2E0VVQ;2351571;Neil;United Kingdom;GBR
296;2E0VXI;2351338;Darren;United Kingdom;GBR
297;2E0WBP;2351502;Phill;United Kingdom;GBR
298;2E0WLY;2351180;Matthew;United Kingdom;GBR
299;2E0WOL;2352953;Wlofgang;United Kingdom;GBR
300;2E0WPA;2352731;Frederick;United Kingdom;GBR
301;2E0WPT;2352990;Paul;United Kingdom;GBR
302;2E0WTZ;2352133;Dawn;United Kingdom;GBR
303;2E0WZD;2351902;Mark;United Kingdom;GBR
304;2E0XBT;2352699;Sean;United Kingdom;GBR
305;2E0XDZ;2341016;Graham;United Kingdom;GBR
306;2E0XEN;2352171;Jon;United Kingdom;GBR
307;2E0XFU;2341020;Mikee;United Kingdom;GBR
308;2E0XJS;2351857;Robert;United Kingdom;GBR
309;2E0XJT;2351096;Sue;United Kingdom;GBR
310;2E0XPR;2341186;Peter;United Kingdom;GBR
311;2E0XRE;2341187;Andrew;United Kingdom;GBR
312;2E0XVI;2352318;Paul;United Kingdom;GBR
313;2E0YDJ;2352719;Darran;United Kingdom;GBR
314;2E0YNT;2351900;Andy;United Kingdom;GBR
315;2E0YPK;2351778;Ellie;United Kingdom;GBR
316;2E0YQC;2352790;Garry;United Kingdom;GBR
317;2E0ZAP;2352012;Robert;United Kingdom;GBR
318;2E0ZLM;2352068;Luke;United Kingdom;GBR
319;2E0ZMX;2352678;Mark;United Kingdom;GBR
320;2E0ZRL;2351380;Anthony;United Kingdom;GBR
321;2E0ZRT;2341082;TIM;United Kingdom;GBR
322;2E1BLD;2351663;Val;United Kingdom;GBR
323;2E1CCN;2352537;David;United Kingdom;GBR
324;2E1CIR;2351949;Richard;United Kingdom;GBR
325;2E1CMZ;2352092;Daphne;United Kingdom;GBR
326;2E1DWM;2351950;Jackie;United Kingdom;GBR
327;2E1FRW;2352527;Terry;United Kingdom;GBR
328;2E1GCT;2352076;Michael;United Kingdom;GBR
329;2E1GDM;2341110;Mark;United Kingdom;GBR
330;2E1GTB;2351498;Carolyn;United Kingdom;GBR
331;2E1GUA;2351713;James;United Kingdom;GBR
332;2E1GYO;2352919;Colin;United Kingdom;GBR
333;2E1HVN;2351749;Paul;United Kingdom;GBR
334;2E1HWD;2352040;Michael;United Kingdom;GBR
335;2E1HYI;2352520;Paul;United Kingdom;GBR
336;2E1HZY;2351363;Paul;United Kingdom;GBR
337;2E1ICK;2351799;Mike;United Kingdom;GBR
338;2E1IFF;2352369;Robert;United Kingdom;GBR
339;2E1KAJ;2352433;Keith;United Kingdom;GBR
340;2E1MDD;2341026;Mark;United Kingdom;GBR
341;2E1MEX;2352519;Allan;United Kingdom;GBR
342;2E1PHW;2341036;Peter;United Kingdom;GBR
343;2E1THX;2352920;Martin;United Kingdom;GBR
344;2E1VAR;2351811;Richard;United Kingdom;GBR
345;2E1YRK;2352847;Chris;United Kingdom;GBR
346;2I0DJM;2355053;JOE;United Kingdom;GBR
347;2I0NUM;2355009;Wiliiam;United Kingdom;GBR
348;2I0NUM;2355007;Wiliiam;United Kingdom;GBR
349;2I0SEH;2355010;Stefan;United Kingdom;GBR
350;2I0TCJ;2355069;TREVOR;United Kingdom;GBR
351;2I0WMH;2355066;William;United Kingdom;GBR
352;2I0XDR;2355055;Robert;United Kingdom;GBR
353;2M0FYG;2354085;John;United Kingdom;GBR
354;2M0JVR;2354094;Victor;United Kingdom;GBR
355;2M0LAS;2354065;Frank;United Kingdom;GBR
356;2M0PMR;2354050;Alastair;United Kingdom;GBR
357;2M0ROT;2354091;Stuart;United Kingdom;GBR
358;2M0SRM;2354009;Scott;United Kingdom;GBR
359;2M1HSG;2354071;Mark;United Kingdom;GBR
360;2M1IGO;2354029;Victor;United Kingdom;GBR
361;2M1IGO;2354034;Victor;United Kingdom;GBR
362;2W0CGM;2353048;Nigel;United Kingdom;GBR
363;2W0CLJ;2353091;Clive;United Kingdom;GBR
364;2W0CVL;2353007;Nathan;United Kingdom;GBR
365;2W0DUN;2353038;Thomas;United Kingdom;GBR
366;2W0DWR;2353044;David;United Kingdom;GBR
367;2W0DWR;2353040;David;United Kingdom;GBR
368;2W0GME;2353035;Gareth;United Kingdom;GBR
